key,county,city
3616,Kern,
3617,San Bernardino,Twentynine Palms
3618,San Bernardino,Highland
3619,San Bernardino,Hesperia
3621,San Bernardino,Apple Valley
3630,San Bernardino,Chino Hills
3631,San Bernardino,Yucca Valley
3640,San Bernardino,Redlands
3680,San Bernardino,Big Bear City
3690,San Bernardino,Grand Terrace
3700,San Diego,Pauma Valley
3701,San Diego,Carlsbad
3702,San Diego,Chula Vista
3703,San Diego,Coronado
3704,San Diego,San Diego
3705,San Diego,El Cajon
3706,San Diego,Escondido
3707,San Diego,Imperial Beach
3708,San Diego,La Mesa
3709,San Diego,National City
3710,San Diego,Oceanside
3711,San Diego,San Diego
3712,Orange,Irvine
3713,San Diego,San Marcos
3720,San Diego,Lemon Grove
3780,San Diego,San Diego
3781,San Diego,Santee
3782,San Diego,Cardiff by the Sea
3783,San Diego,Solana Beach
3801,San Francisco,San Francisco
3900,San Joaquin,Stockton
3901,San Joaquin,Escalon
3902,San Joaquin,Lodi
3903,San Joaquin,Manteca
3904,San Joaquin,Ripon
3905,San Joaquin,Stockton
3906,San Joaquin,Tracy
3920,San Joaquin,Lathrop
4000,San Luis Obispo,Nipomo
4001,San Luis Obispo,Arroyo Grande
4002,San Luis Obispo,Grover Beach
4003,San Luis Obispo,Morro Bay
4004,San Luis Obispo,Paso Robles
4005,San Luis Obispo,Pismo Beach
4006,San Luis Obispo,San Luis Obispo
4008,San Luis Obispo,Atascadero
4100,San Mateo,Half Moon Bay
4101,San Mateo,Atherton
4102,San Mateo,Belmont
4103,San Mateo,South San Francisco
4104,San Mateo,Burlingame
4105,San Mateo,Daly City
4106,San Mateo,Daly City
4107,San Mateo,Half Moon Bay
4108,San Mateo,Burlingame
4109,San Mateo,Palo Alto
4110,San Mateo,Millbrae
4111,San Mateo,Pacifica
4112,Santa Cruz,Los Gatos
4113,San Mateo,Redwood City
4114,San Mateo,San Bruno
4115,San Mateo,San Carlos
4116,San Mateo,San Mateo
4117,San Mateo,South San Francisco
4118,San Mateo,Redwood City
4120,San Mateo,San Mateo
4127,San Mateo,Palo Alto
4200,Santa Barbara,Los Alamos
4201,Santa Barbara,
4202,Santa Barbara,Lompoc
4203,Santa Barbara,Santa Barbara
4204,Santa Barbara,Santa Maria
4205,Santa Barbara,Carpinteria
4206,Santa Barbara,Solvang
4212,Santa Barbara,Buellton
4214,Santa Barbara,Goleta
4300,Santa Clara,Gilroy
4302,Santa Clara,Campbell
4303,Santa Clara,Cupertino
4304,Santa Clara,Gilroy
4305,Santa Clara,Los Altos
4306,Santa Clara,Los Altos
4307,Santa Clara,Los Gatos
