normalized_road,standard_road
"LALOMA AV","LA LOMA AVE"
LASSEN,"LASSEN ST"
"LASSEN ST","LASSEN ST"
LATHAM,"LATHAM LN"
"LATHAM LN","LATHAM LN"
"LAUREL LN","LAUREL LN"
"LAUREL ST","LAUREL ST"
"LE CONTE","LE CONTE AVE"
"LE CONTE AV","LE CONTE AVE"
"LE ROY","LE ROY AVE"
"LE ROY AV","LE ROY AVE"
"LE ROY ST","LE ROY AVE"
LEROY,"LE ROY AVE"
"LEROY AV","LE ROY AVE"
"LEWISTON AV","LEWISTON AVE"
"LIGHT POLE B","LIGHT POLE B"
LINCOLN,"LINCOLN ST"
"LINCOLN AV","LINCOLN ST"
"LINCOLN ST","LINCOLN ST"
"LINDEN AV","LINDEN AV"
LORINA,"LORINA ST"
"LORINA ST","LORINA ST"
"LOS ANGELES","LOS ANGELES AVE"
"LOS ANGELES AV","LOS ANGELES AVE"
"LOS ANGELES ST","LOS ANGELES AVE"
"M L K JR WY","MARTIN LUTHER KING JR WAY"
"M L KING JR","MARTIN LUTHER KING JR WAY"
"M L KING JR WAY","MARTIN LUTHER KING JR WAY"
"M L KING JR WY","MARTIN LUTHER KING JR WAY"
MABEL,"MABEL ST"
"MABEL AV","MABEL ST"
"MABEL ST","MABEL ST"
"MABEL STREET","MABEL ST"
"MADERA ST","MADERA ST"
MAGNOLIA,MAGNOLIA
"MAGNOLIA ST","MAGNOLIA ST"
"MAIN ST","MARIN AVE"
MARIN,"MARIN AVE"
"MARIN AV","MARIN AVE"
"MARIN AV N","MARIN AVE"
"MARIN AVE","MARIN AVE"
"MARIN AVENUE","MARIN AVE"
"MARIN CIR","MARIN CIR"
"MARIN ST","MARIN AVE"
MARINA,"MARINA BLVD"
"MARINA AV","MARINA BLVD"
"MARINA BL","MARINA BLVD"
MARIPOSA,"MARIPOSA AVE"
"MARIPOSA AV","MARIPOSA AVE"
"MARTIN CIR","MARIN CIR"
"MARTIN LUTHER KING","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHER KING BL","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHER KING DR","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHER KING JR","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHER KING JR BL","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHER KING JR WAY","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHER KING JR WY","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHER KING JR WY E","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHER KING JR WY S","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHER KING JUNIOR WY","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHER KING WY","MARTIN LUTHER KING JR WAY"
"MARTIN LUTHERR KING JR","MARTIN LUTHER KING JR WAY"
"MARVIN AV","MARVIN AV"
"MARYLAND AV","MARYLAND AVE"
MASONIC,"MASONIC AVE"
"MASONIC AV","MASONIC AVE"
MATHEWS,"MATHEWS ST"
"MATHEWS ST","MATHEWS ST"
MATTHEWS,"MATHEWS ST"
"MATTHEWS ST","MATHEWS ST"
"MAYBECK TWIN DR","MAYBECK TWIN DR"
"MAYBELLE AV","MAYBELLE AV"
"MC KINNEY ST","MCKINLEY AVE"
MCGEE,"MCGEE AVE"
"MCGEE AV","MCGEE AVE"
"MCGEE ST","MCGEE AVE"
MCKINLEY,"MCKINLEY AVE"
"MCKINLEY AV","MCKINLEY AVE"
"MCKINLEY ST","MCKINLEY AVE"
MENDOCINO,"MENDOCINO AVE"
"MENDOCINO AV","MENDOCINO AVE"
"MENLO PL","MENLO PL"
MERCED,"MERCED ST"
"MERCED ST","MERCED ST"
MICHIGAN,"MICHIGAN AVE"
"MICHIGAN AV","MICHIGAN AVE"
"MICHIGAN AVENUE","MICHIGAN AVE"
"MICHIGAN ST","MICHIGAN AVE"
"MILES AV","MILES AVE"
MILLER,"MILLER AVE"
"MILLER AV","MILLER AVE"
MILVIA,"MILVIA ST"
"MILVIA ST","MILVIA ST"
"MILVIA ST S","MILVIA ST"
"MK JR WY","MARTIN LUTHER KING JR WAY"
"MLK JR","MARTIN LUTHER KING JR WAY"
"MLK JR WAY","MARTIN LUTHER KING JR WAY"
"MLK JR WY","MARTIN LUTHER KING JR WAY"
"MLK JR WY N","MARTIN LUTHER KING JR WAY"
"MLK ST","MARTIN LUTHER KING JR WAY"
"MLK WAY","MARTIN LUTHER KING JR WAY"
"MLK WY","MARTIN LUTHER KING JR WAY"
"MLKING JR WY","MARTIN LUTHER KING JR WAY"
MODOC,"MODOC ST"
"MODOC AV","MODOC ST"
"MODOC ST","MODOC ST"
MONTEREY,"MONTEREY AVE"
"MONTEREY AV","MONTEREY AVE"
"MONTEREY AVE","MONTEREY AVE"
"MONTEREY ST","MONTEREY AVE"
"MONTROSE AV","MONTROSE RD"
"MONTROSE RD","MONTROSE RD"
"MONTROSE ROAD","MONTROSE RD"
"MOSSWOOD RD","MOSSWOOD RD"
"MUIR WY","MUIR WAY"
MURRAY,"MURRAY ST"
"MURRAY COM","MURRAY ST"
"MURRAY ST","MURRAY ST"
"MURRAY STREET","MURRAY ST"
"MYSTIC ST","MYSTIC ST"
NAPA,"NAPA AVE"
"NAPA AV","NAPA AVE"
"NAPA ST","NAPA AVE"
NEILSON,"NEILSON ST"
"NEILSON ST","NEILSON ST"
"NEWBERRY ST","NEWBURY ST"
NEWBURY,"NEWBURY ST"
"NEWBURY ST","NEWBURY ST"
"NIELSON AV","NIELSON ST"
"NIELSON ST","NIELSON ST"
NINTH,"NINTH ST"
"NINTH ST","NINTH ST"
"NINTH STREET","NINTH ST"
"NOGALES ST","NOGALES ST"
NORTHAMPTON,"NORTHAMPTON AVE"
"NORTHAMPTON AV","NORTHAMPTON AVE"
"NORTHBRAE TUNNEL","NORTHBRAE TUNNEL"
NORTHGATE,"NORTHGATE AVE"
"NORTHGATE AV","NORTHGATE AVE"
"NORTHGATE ST","NORTHGATE AVE"
"NORTHSIDE AV","NORTHSIDE AVE"
"OAK KNOLL","OAK KNOLL TER"
"OAK KNOLL TER","OAK KNOLL TER"
"OAK RIDGE","OAK RIDGE RD"
"OAK RIDGE RD","OAK RIDGE RD"
"OAK ST","OAK ST"
"OAK STREET PATH ST","OAK STREET PATH"
"OAKRIDGE RD","OAK RIDGE RD"
OAKVALE,"OAKVALE AVE"
"OAKVALE AV","OAKVALE AVE"
"OAKVALE ST","OAKVALE AVE"
"OF GILMAN STREET","GILMAN ST"
"OF I","I-80"
"OF UNIVERSITY AVENUE","UNIVERSITY AVE"
"OHLONE GREENWAY","OHLONE GREENWAY"
ORDWAY,"ORDWAY ST"
"ORDWAY ST","ORDWAY ST"
OREGON,"OREGON ST"
"OREGON ST","OREGON ST"
OREGONST,"OREGON ST"
OTIS,"OTIS ST"
"OTIS ST","OTIS ST"
OXFORD,"OXFORD ST"
"OXFORD AV","OXFORD ST"
"OXFORD CIR","OXFORD ST"
"OXFORD LN","OXFORD LN"
"OXFORD SQ","OXFORD ST"
"OXFORD ST","OXFORD ST"
"OXFORD ST N","OXFORD ST"
"OXFORD ST S","OXFORD ST"
"OXFORD WY","OXFORD ST"
PAGE,"PAGE ST"
"PAGE AV","PAGE ST"
"PAGE ST","PAGE ST"
PALM,"PALM CT"
"PALM CT","PALM CT"
PANORAMIC,"PANORAMIC WAY"
"PANORAMIC PL","PANORAMIC PL"
"PANORAMIC WAY","PANORAMIC WAY"
"PANORAMIC WY","PANORAMIC WAY"
PARDEE,"PARDEE ST"
"PARDEE AV","PARDEE ST"
"PARDEE ST","PARDEE ST"
PARK,"SOUTH PARK DR"
"PARK DR","SOUTH PARK DR"
"PARK DRIVE","SOUTH PARK DR"
"PARK GATE","PARK GATE"
"PARK GATE RD","PARK GATE"
"PARK HILLS","PARK HILLS RD"
"PARK HILLS RD","PARK HILLS RD"
"PARK RD","SOUTH PARK DR"
"PARK ST","PARK ST"
PARKER,"PARKER ST"
"PARKER AV","PARKER ST"
"PARKER RD","PARKER ST"
"PARKER SQUARE E","PARKER ST"
"PARKER ST","PARKER ST"
"PARKSIDE DR","PARKSIDE DR"
PERALTA,"PERALTA AVE"
"PERALTA AV","PERALTA AVE"
"PERALTA ST","PERALTA AVE"
PERLTA,"PERALTA AVE"
PIEDMONT,"PIEDMONT AVE"
"PIEDMONT AV","PIEDMONT AVE"
"PIEDMONT CRES","PIEDMONT CRESCENT"
"PIEDMONT ST","PIEDMONT AVE"
PIEMONT,"PIEDMONT AVE"
"PIEMONT AV","PIEDMONT AVE"
PINE,"PINE AVE"
"PINE AV","PINE AVE"
POLE,POLE
POPLAR,"POPLAR ST"
"POPLAR AV","POPLAR ST"
"POPLAR ST","POPLAR ST"
"PORTLAND AV","PORTLAND AVE"
POSEN,"POSEN AVE"
"POSEN AV","POSEN AVE"
"POSEN AVE","POSEN AVE"
"POSEN ST","POSEN AVE"
POTTER,"POTTER ST"
"POTTER ST","POTTER ST"
"POTTER ST W","POTTER ST"
"POWELL ST","POWELL ST"
"POWELL STREET","POWELL ST"
"POWER POLE","POWER POLE"
"PRESLEY WAY","PRESLEY WAY"
PRINCE,"PRINCE ST"
"PRINCE DR","PRINCE DR"
"PRINCE ST","PRINCE ST"
"PRIVATE PROPERTY","PRIVATE PROPERTY"
PROSPECT,"PROSPECT ST"
"PROSPECT AV","PROSPECT ST"
"PROSPECT CT","PROSPECT ST"
"PROSPECT ST","PROSPECT ST"
"PROSPECT TER","PROSPECT ST"
"QUAIL AV","QUAIL AVE"
"QUARRY RD","QUARRY RD"
"QUARRY ST","QUARRY RD"
"QUEENS RD","QUEENS RD"
REGAL,"REGAL RD"
"REGAL RD","REGAL RD"
REGENT,"REGENT ST"
"REGENT AV","REGENT ST"
"REGENT ST","REGENT ST"
RIDGE,"RIDGE RD"
"RIDGE CREST CT","RIDGE CREST CT"
"RIDGE RD","RIDGE RD"
"ROANOKE RD","ROANOKE RD"
"ROANOKE ST","ROANOKE RD"
"ROBLE CT","ROBLE CT"
"ROBLE RD","ROBLE RD"
"ROCK LN","ROCK LN"
"RODEMONT AV","ROSEMONT AVE"
ROOSEVELT,"ROOSEVELT AVE"
"ROOSEVELT AV","ROOSEVELT AVE"
"ROOSEVELT ST","ROOSEVELT AVE"
ROSE,"ROSE ST"
"ROSE AV","ROSE ST"
"ROSE CT","ROSE ST"
"ROSE ST","ROSE ST"
"ROSE STREET","ROSE ST"
"ROSE STREET E","ROSE ST"
"ROSEMONT AV","ROSEMONT AVE"
"RT 101","RT 101"
"RT 123","SAN PABLO AVE"
"RT 13","ASHBY AVE"
"RT 185","RT 185"
"RT 24","RT 24"
"RT 580","I-580"
"RT 80","I-80"
"RT 880","I-880"
RT1805,"RT 185"
RUSSEL,"RUSSELL ST"
"RUSSEL ST","RUSSELL ST"
RUSSELL,"RUSSELL ST"
"RUSSELL AV","RUSSELL ST"
"RUSSELL SQUARE","RUSSELL ST"
"RUSSELL ST","RUSSELL ST"
"RUSSET ST","RUSSET ST"
SACRAMENTO,"SACRAMENTO ST"
"SACRAMENTO AV","SACRAMENTO ST"
"SACRAMENTO SQ","SACRAMENTO ST"
"SACRAMENTO ST","SACRAMENTO ST"
"SACRAMENTO STREET","SACRAMENTO ST"
"SAN ANTONIO AV","SAN ANTONIO AVE"
"SAN BENITO RD","SAN BENITO RD"
"SAN DIEGO RD","SAN DIEGO RD"
"SAN FERNANDO","SAN FERNANDO AVE"
"SAN FERNANDO AV","SAN FERNANDO AVE"
"SAN FRANCISCO BAY TRL","SAN FRANCISCO BAY TRAIL"
"SAN JUAN AV","SAN JUAN AVE"
"SAN LEANDRO AV","SAN LORENZO AVE"
"SAN LORENZO","SAN LORENZO AVE"
"SAN LORENZO AV","SAN LORENZO AVE"
"SAN LORENZO ST","SAN LORENZO AVE"
"SAN LUIS","SAN LUIS RD"
"SAN LUIS RD","SAN LUIS RD"
"SAN MATEO","SAN MATEO RD"
"SAN MATEO RD","SAN MATEO RD"
"SAN MIGUEL","SAN MIGUEL AVE"
"SAN PABLO","SAN PABLO AVE"
"SAN PABLO AV","SAN PABLO AVE"
"SAN PABLO AV N","SAN PABLO AVE"
"SAN PABLO AVE","SAN PABLO AVE"
"SAN PABLO AVENUE","SAN PABLO AVE"
"SAN PABLO BL","SAN PABLO AVE"
"SAN PABLO CHEVRON GAS","SAN PABLO CHEVRON GAS"
"SAN PABLO W","SAN PABLO AVE"
"SAN PEDRO AV","SAN PEDRO AVE"
"SAN RAMON","SAN RAMON AVE"
"SAN RAMON AV","SAN RAMON AVE"
"SANTA BARBARA","SANTA BARBARA RD"
"SANTA BARBARA CT","SANTA BARBARA RD"
"SANTA BARBARA RD","SANTA BARBARA RD"
"SANTA BARBERA","SANTA BARBARA RD"
"SANTA CLARA AV","SANTA CLARA AVE"
"SANTA FE","SANTA FE AVE"
"SANTA FE AV","SANTA FE AVE"
"SANTA FE ST","SANTA FE AVE"
"SANTA ROSA AV","SANTA ROSA AVE"
SCENIC,"SCENIC AVE"
"SCENIC AV","SCENIC AVE"
"SCENIC ST","SCENIC AVE"
SCHLESSINGER,"FRANK SCHLESSINGER WAY"
SEAWALL,"SEAWALL DR"
"SEAWALL DR","SEAWALL DR"
"SECOND ST","SECOND ST"
SENIOR,"SENIOR AVE"
"SENIOR AV","SENIOR AVE"
SHASTA,"SHASTA RD"
"SHASTA AV","SHASTA RD"
"SHASTA RD","SHASTA RD"
"SHATTLUCK AV","SHATTUCK AVE"
SHATTUCK,"SHATTUCK AVE"
"SHATTUCK AV","SHATTUCK AVE"
"SHATTUCK AVE","SHATTUCK AVE"
"SHATTUCK PL","SHATTUCK PL"
"SHATTUCK SQ","SHATTUCK SQ"
"SHATTUCK STEPS","SHATTUCK AVE"
"SHELLMOUND ST","SHELLMOUND ST"
"SHELLMOUND STREET","SHELLMOUND ST"
"SHORE HWY","EASTSHORE HWY"
"SHORE WY","EASTSHORE HWY"
"SHORT ST","SHORT ST"
SHUTTUCK,"SHATTUCK AVE"
"SHUTTUCK AV","SHATTUCK AVE"
"SIERRA ST","SIERRA ST"
"SIXTH ST","SIXTH ST"
SOLANO,SOLANO
"SOLANO AV","SOLANO AVE"
"SOLANO ST","SOLANO AVE"
"SOLANO WY","SOLANO AVE"
"SOMERSET PL","SOMERSET PL"
"SONOMA AV","SONOMA AVE"
"SONOMA ST","SONOMA AVE"
SOUTHAMPTON,"SOUTHAMPTON AVE"
"SOUTHAMPTON AV","SOUTHAMPTON AVE"
"SOUTHAMPTON RD","SOUTHAMPTON AVE"
"SOUTHERN PACIFIC RR TRACKS","SOUTHERN PACIFIC RR TRACKS"
SOUTHHAMPTON,"SOUTHAMPTON AVE"
"SOUTHHAMPTON AV","SOUTHAMPTON AVE"
"SPALDING ST","SPAULDING AVE"
SPAULDING,"SPAULDING AVE"
"SPAULDING AV","SPAULDING AVE"
"SPAULDING ST","SPAULDING AVE"
SPINNAKER,"SPINNAKER WAY"
"SPINNAKER WY","SPINNAKER WAY"
"SPINNAKER WY N","SPINNAKER WAY"
"SPORTS LN","SPORTS LN"
"SPRING ST","SPRING WAY"
SPRUCE,"SPRUCE ST"
"SPRUCE AV","SPRUCE ST"
"SPRUCE CT","SPRUCE ST"
"SPRUCE SQ","SPRUCE ST"
"SPRUCE ST","SPRUCE ST"
"SPRUCE STREET","SPRUCE ST"
SR-13,"ASHBY AVE"
"STADIUM RIM","STADIUM RIM WAY"
"STADIUM RIM WY","STADIUM RIM WAY"
STANFORD,"STANFORD AVE"
"STANFORD AV","STANFORD AVE"
"STANFORD ST","STANFORD AVE"
STANNAGE,"STANNAGE AVE"
"STANNAGE AV","STANNAGE AVE"
"STANNAGE ST","STANNAGE AVE"
STANTON,"STANTON ST"
"STANTON RD","STANTON ST"
"STANTON ST","STANTON ST"
STATION,"STATION PL"
"STATION PL","STATION PL"
"STATTUCK AV","SHATTUCK AVE"
"STERLING AV","STERLING AVE"
"STEVENSON AV","STEVENSON AVE"
"STEVENSON PATH","STEVENSON PATH"
"STODDARD AV","STODDARD WAY"
"STODDARD WY","STODDARD WAY"
"STONEWALL RD","STONEWALL RD"
"STREET PATH","WEST STREET PATH"
STUART,"STUART ST"
"STUART ST","STUART ST"
SUMMER,"SUMMER ST"
"SUMMER ST","SUMMER ST"
"SUMMIT DR","SUMMIT RD"
"SUMMIT RD","SUMMIT RD"
SUNSET,"SUNSET LN"
"SUNSET AV","SUNSET LN"
"SUNSET LN","SUNSET LN"
"SUNSET TER","SUNSET TER"
SUTTER,"SUTTER ST"
"SUTTER ST","SUTTER ST"
TACOMA,"TACOMA AVE"
"TACOMA AV","TACOMA AVE"
"TACOMA ST","TACOMA AVE"
TALBOT,"TALBOT AVE"
"TALBOT AV","TALBOT AVE"
"TALBOT AVENUE","TALBOT AVE"
TAMALPAIS,"TAMALPAIS RD"
"TAMALPAIS AV","TAMALPAIS RD"
"TAMALPAIS RD","TAMALPAIS RD"
"TAMALPALIS RD","TAMALPAIS RD"
"TANGLEWOOD RD","TANGLEWOOD RD"
TELEGRAPH,"TELEGRAPH AVE"
"TELEGRAPH AV","TELEGRAPH AVE"
"TELEGRAPH AVENUE N","TELEGRAPH AVE"
"TENAYA ST","TENTH ST"
"TERRACE WALK","TERRACE WALK"
TEVLIN,"TEVLIN ST"
"TEVLIN ST","TEVLIN ST"
"THE ALAMEDA","THE ALAMEDA"
"THE ALAMEDA AV","THE ALAMEDA"
"THE ALAMEDA ST","THE ALAMEDA"
"THE ARLINGTON","ARLINGTON AVE"
"THE BERKELEY I","UNIVERSITY PEDESTRIAN BRIDGE"
"THE BUCHANAN ST","BUCHANAN ST"
"THE CIRCLE","MARIN CIR"
"THE CIRCLE CIR","MARIN CIR"
"THE CRESCENT","THE CRESCENT"
"THE CROSSWAYS","THE CROSSWAYS"
"THE EAST ASHBY AVENUE O","ASHBY AVE"
"THE EAST ASHBY AVENUE OVERCROSSING","ASHBY AVE"
"THE FOOTWAY","THE FOOTWAY"
"THE GILMAN ST","GILMAN ST"
"THE PLAZA","THE PLAZA DR"
"THE SHORT CUT","THE SHORTCUT"
"THE SPIRAL","THE SPIRAL"
"THE UNIVERSITY AV","UNIVERSITY AVE"
"THE UPLAND","THE UPLANDS"
"THE UPLANDS","THE UPLANDS"
"THE UPLANDS RD","THE UPLANDS"
"THOUSAND OAKS","THOUSAND OAKS BLVD"
"THOUSAND OAKS AV","THOUSAND OAKS BLVD"
"THOUSAND OAKS BL","THOUSAND OAKS BLVD"
TILDEN,TILDEN
"TOLL PLAZA","TOLL PLAZA"
TREMONT,"TREMONT ST"
"TREMONT ST","TREMONT ST"
"TULANE AV","TULANE AVE"
TULARE,"TULARE AVE"
"TULARE AV","TULARE AVE"
"TULARE ST","TULARE AVE"
TUNNEL,"TUNNEL RD"
"TUNNEL AV","TUNNEL RD"
"TUNNEL BORE","TUNNEL BORE"
"TUNNEL RD","TUNNEL RD"
"TUNNEL RD E","TUNNEL RD"
TUNNELL,"TUNNEL RD"
TWAIN,"TWAIN AVE"
"TWAIN AV","TWAIN AVE"
TYLER,"TYLER ST"
"TYLER ST","TYLER ST"
UNINVERSITY,"UNIVERSITY AVE"
"UNION AV","UNION AV"
"UNIVERISITY AV","UNIVERSITY AVE"
UNIVERISTY,"UNIVERSITY AVE"
"UNIVERISTY AVE","UNIVERSITY AVE"
"UNIVERISTY AVENUE","UNIVERSITY AVE"
"UNIVERISTY AVENUE OVER","UNIVERSITY AVE"
UNIVERITY,"UNIVERSITY AVE"
UNIVERSITY,"UNIVERSITY AVE"
"UNIVERSITY AV","UNIVERSITY AVE"
"UNIVERSITY AVE","UNIVERSITY AVE"
"UNIVERSITY AVE O","UNIVERSITY AVE"
"UNIVERSITY AVE OVER","UNIVERSITY AVE"
"UNIVERSITY AVE OVER CROSSING","UNIVERSITY AVE"
"UNIVERSITY AVE OVERCROSSING","UNIVERSITY AVE"
"UNIVERSITY AVE PED O","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVE PEDESTRIAN O","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVE PEDESTRIAN OVER CROSSING","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVE PEDESTRIAN OVERCROSSING","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVENUE","UNIVERSITY AVE"
"UNIVERSITY AVENUE O","UNIVERSITY AVE"
"UNIVERSITY AVENUE OVER","UNIVERSITY AVE"
"UNIVERSITY AVENUE OVERCROSSING","UNIVERSITY AVE"
"UNIVERSITY AVENUE PED O","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVENUE PED OVERCROSSING","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVENUE PEDESTRIAN O","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVENUE PEDESTRIAN OVER","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVENUE PEDESTRIAN OVERCROSS","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVENUE PEDESTRIAN OVERCROSSIN","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVENUE PEDESTRIAN OVERCROSSING","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY AVENUNE","UNIVERSITY AVE"
"UNIVERSITY O","UNIVERSITY O"
"UNIVERSITY OVERPASS","UNIVERSITY OVERPASS"
"UNIVERSITY PED O","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY PEDESTRIAN O","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY PEDESTRIAN OVERCROSSING","UNIVERSITY PEDESTRIAN BRIDGE"
"UNIVERSITY ST","UNIVERSITY AVE"
UNIVERSIY,"UNIVERSITY AVE"
"UNIVRESITY AVENUE OVER","UNIVERSITY AVE"
"UNIVSERITY AVENUE","UNIVERSITY AVE"
UNKNOWN,UNKNOWN
"UNVERSITY AVE","UNIVERSITY AVE"
"UNVERSITY AVENUE","UNIVERSITY AVE"
"UPLAND AV","THE UPLANDS"
"UTILITY POLE","UTILITY POLE"
"VALLEE TER","VALLEE TER"
VALLEJO,"VALLEJO ST"
"VALLEJO ST","VALLEJO ST"
VALLEY,"VALLEY ST"
"VALLEY AV","VALLEY ST"
"VALLEY ST","VALLEY ST"
"VASSAR AV","VASSAR AVE"
"VENTURA AV","VENTURA AVE"
"VERMONT AV","VERMONT AVE"
"VERMONT ST","VERMONT AVE"
"VICENTE AV","VICENTE RD"
"VICENTE RD","VICENTE RD"
VINCENTE,"VINCENTE AVE"
"VINCENTE AV","VINCENTE AVE"
"VINCENTE RD","VINCENTE AVE"
VINE,"VINE ST"
"VINE CT","VINE ST"
"VINE ST","VINE ST"
"VINTAGE CT","VIRGINIA ST"
VIRGINIA,"VIRGINIA ST"
"VIRGINIA AV","VIRGINIA ST"
"VIRGINIA ST","VIRGINIA ST"
VISALIA,"VISALIA AVE"
"VISALIA AV","VISALIA AVE"
"VISTAMONT AV","VISTAMONT AVE"
"WALLACE ST","WALLACE ST"
WALNUT,"WALNUT ST"
"WALNUT AV","WALNUT ST"
"WALNUT AVE","WALNUT ST"
"WALNUT ST","WALNUT ST"
"WALNUT STREET","WALNUT ST"
WARD,"WARD ST"
"WARD LN","WARD ST"
"WARD ST","WARD ST"
WARRING,"WARRING ST"
"WARRING ST","WARRING ST"
WASHINGTON,"WASHINGTON AVE"
WATKINS,"WATKINS ST"
"WATKINS ST","WATKINS ST"
WEBSTER,"WEBSTER ST"
"WEBSTER ST","WEBSTER ST"
"WEBSTER ST S","WEBSTER ST"
"WEIGHT SCALES","WEIGHT SCALES"
WEST,"WEST ST"
"WEST ST","WEST ST"
"WESTERN ASHBY AVE","ASHBY AVE"
WHEELER,"WHEELER ST"
"WHEELER ST","WHEELER ST"
WHITAKER,WHITAKER
"WHITAKER AV","WHITAKER AVE"
"WHITNEY ST","WHITNEY ST"
"WILDCAT CANYON","WILDCAT CANYON RD"
"WILDCAT CANYON RD","WILDCAT CANYON RD"
"WILSHIRE BL","WILSHIRE BLVD"
WOODHAVEN,"WOODHAVEN RD"
"WOODHAVEN RD","WOODHAVEN RD"
WOODMONT,"WOODMONT AVE"
"WOODMONT AV","WOODMONT AVE"
WOOLSEY,"WOOLSEY ST"
"WOOLSEY ST","WOOLSEY ST"
"WOOSLEY ST","WOOLSEY ST"
"WOOSTER ST","WOOLSEY ST"
"YOLO AV","YOLO AVE"
"YOSEMITE RD","YOSEMITE RD"
