normalized_road,standard_road
"INDIAN ROCK AV","INDIAN ROCK AVE"
"INDIAN ROCK AVE","INDIAN ROCK AVE"
"INDIAN ROCK PATH","INDIAN ROCK PATH"
"INDIAN ROCK RD","INDIAN ROCK AVE"
INTERSTATE,I-80
"INTERSTATE 580 EASTBOUND",I-580
"INTERSTATE 80 E",I-80
"INTERSTATE 80 EASTBOUND",I-80
"INTERSTATE 80 W",I-80
"INTERSTATE 80 WESTBOUND",I-80
"INTERSTATE 80 WESTBOUND TO ASHBY AVENUE",I-80
"JACKSON ST","JACKSON ST"
"JAYNE ST","JAYNES ST"
JEFFERSON,"JEFFERSON AVE"
"JEFFERSON AV","JEFFERSON AVE"
"JEFFERSON ST","JEFFERSON AVE"
"JEO GILMAN ST","GILMAN ST"
"JOHN ST","JOHN ST"
JONES,"JONES ST"
"JONES AV","JONES ST"
"JONES ST","JONES ST"
"JOSEPH ST","JOSEPHINE ST"
JOSEPHINE,"JOSEPHINE ST"
"JOSEPHINE ST","JOSEPHINE ST"
"JOSEPINE ST","JOSEPHINE ST"
JUANITA,"JUANITA WAY"
"JUANITA ST","JUANITA WAY"
"JUANITA WY","JUANITA WAY"
"JULI ST","JULIA ST"
JULIA,"JULIA ST"
"JULIA CT","JULIA ST"
"JULIA ST","JULIA ST"
KAINS,"KAINS AVE"
"KAINS AV","KAINS AVE"
"KAINS ST","KAINS AVE"
"KALA BAGAI","KALA BAGAI WAY"
"KALA BAGAI WY","KALA BAGAI WAY"
"KAY AV","KAY AVE"
"KAY AVE","KAY AVE"
KEELER,"KEELER AVE"
"KEELER AV","KEELER AVE"
KEITH,"KEITH AVE"
"KEITH AV","KEITH AVE"
KENTUCKY,"KENTUCKY AVE"
"KENTUCKY AV","KENTUCKY AVE"
"KEONCREST DR","KEONCREST DR"
KING,"KING ST"
"KING AV","KING ST"
"KING ST","KING ST"
KITTREDGE,"KITTREDGE ST"
"KITTREDGE AV","KITTREDGE ST"
"KITTREDGE ST","KITTREDGE ST"
"KITTRIDGE ST","KITTREDGE ST"
"LA CIENEGA BL","LA CIENEGA BL"
"LA LOMA","LA LOMA AVE"
"LA LOMA AV","LA LOMA AVE"
"LA LOMA ST","LA LOMA AVE"
"LA LOMA STEPS","LA LOMA STEPS"
"LA VEREDA RD","LA VEREDA RD"
"LAKE ANZA RD","LAKE ANZA RD"
