case_id,primary_rd,secondary_rd
6606412,"DWIGHT WAY","MILVIA ST"
6606436,"EUCLID AVE","EUNICE ST"
6606440,"DWIGHT WAY","DANA ST"
6611968,"SAN PABLO AVE","CEDAR ST"
6640659,"OXFORD ST","HEARST AVE"
6640676,"SIXTH ST","BANCROFT WAY"
6640684,"SACRAMENTO ST","PRINCE ST"
6640688,"TELEGRAPH AVE","WEBSTER ST"
6640696,"OREGON ST","MILVIA ST"
6640700,"BLAKE ST","SHATTUCK AVE"
6640720,"SHATTUCK AVE","FRANCISCO ST"
6644230,"SACRAMENTO ST","UNIVERSITY AVE"
6644734,"CALIFORNIA ST","DERBY ST"
6645008,"COLLEGE AVE","DERBY ST"
6645012,"MILVIA ST","HASTE ST"
6645016,"TELEGRAPH AVE","PARKER ST"
6645020,"SACRAMENTO ST","HARMON ST"
6645024,"TELEGRAPH AVE","PARKER ST"
6676440,"HENRY ST","ROSE ST"
6682773,"UNIVERSITY AVE","FRONTAGE RD"
6682806,"BANCROFT WAY","COLLEGE AVE"
6682826,"MCGEE AVE","BERKELEY WAY"
6682834,"ASHBY AVE","MARTIN LUTHER KING JR WAY"
6682838,"SAN PABLO AVE","ALLSTON WAY"
6682846,"REGAL RD","SPRUCE ST"
6682850,"NINTH ST","VIRGINIA ST"
6682854,"PIEDMONT AVE","BANCROFT WAY"
6682855,"SHATTUCK AVE","ASHBY AVE"
6682858,"COLLEGE AVE","BANCROFT WAY"
6682859,"CEDAR ST","SECOND ST"
6682863,"BANCROFT WAY","BARROW LN"
6682867,"CHANNING WAY","COLLEGE AVE"
6682871,"CHANNING WAY","CHANNING WAY"
6682874,"TUNNEL RD","ALVARADO RD"
6682883,"SOLANO AVE","TULARE AVE"
6682888,"ADDISON ST","MARTIN LUTHER KING JR WAY"
6682891,"GILMAN ST","SECOND ST"
6682892,"ADELINE ST","FAIRVIEW ST"
6682895,"DWIGHT WAY","FULTON ST"
6682904,"ASHBY AVE","SHATTUCK AVE"
6682916,"TELEGRAPH AVE","TELEGRAPH AVE"
6682920,"MILVIA ST","CENTER ST"
6682928,"SAN PABLO AVE","COWPER ST"
6682932,"MARTIN LUTHER KING JR WAY","CENTER ST"
6682940,"DANA ST","BANCROFT WAY"
6682948,"CEDAR ST","NINTH ST"
6682952,"SPAULDING AVE","ADDISON ST"
6682956,"DWIGHT WAY","WARRING ST"
6683066,"OXFORD ST","EUNICE ST"
6734736,"UNIVERSITY AVE","GRANT ST"
6734755,"CHANNING WAY","TELEGRAPH AVE"
6734760,"ADELINE ST","FAIRVIEW ST"
6734767,"SIXTH ST","GILMAN ST"
6734768,"MILVIA ST","ALLSTON WAY"
6734775,"CALIFORNIA ST","CEDAR ST"
6734779,"CALIFORNIA ST","CALIFORNIA ST"
6734783,"ATHERTON ST","HASTE ST"
6734787,"SHATTUCK AVE","VINE ST"
6734788,"ESSEX ST","ADELINE ST"
6734791,"SAN PABLO AVE","FRANCISCO ST"
6734799,"UNIVERSITY AVE","OXFORD ST"
6745203,"SHATTUCK AVE","HASTE ST"
6745204,"MARTIN LUTHER KING JR WAY","OREGON ST"
6745205,"EMERSON ST","ADELINE ST"
6745206,"GILMAN ST","EASTSHORE HWY"
6745208,"MILVIA ST","BLAKE ST"
6745209,"WEBSTER ST","TELEGRAPH AVE"
6745211,"SACRAMENTO ST","ASHBY AVE"
6745212,"PARKER ST","MARTIN LUTHER KING JR WAY"
6745213,"ACTON ST","RUSSELL ST"
6745223,"PARK GATE","SHASTA RD"
6745224,"BANCROFT WAY","COLLEGE AVE"
6745225,"GILMAN ST","I-80"
6745230,"SHATTUCK AVE","WOOLSEY ST"
6751753,"ALLSTON WAY","SIXTH ST"
6752948,"WARD ST","TELEGRAPH AVE"
6752956,"DELAWARE ST","SACRAMENTO ST"
6752960,"VINE ST","SHATTUCK AVE"
6752961,"COLLEGE AVE","COLLEGE AVE"
6752965,"UNIVERSITY AVE","SAN PABLO AVE"
6752967,"GRIZZLY PEAK BLVD","SHASTA RD"
6752975,"HEARST AVE","CALIFORNIA ST"
6752977,"VIRGINIA ST","LA LOMA AVE"
6752981,"ASHBY AVE","MABEL ST"
6752985,"ACTON ST","DELAWARE ST"
6752987,"HEARST AVE","GRANT ST"
6755182,"COLLEGE AVE","DWIGHT WAY"
6761109,"SHATTUCK AVE","UNIVERSITY AVE"
6765614,"SEVENTH ST","HEINZ AVE"
6770471,"ROSE ST","MARTIN LUTHER KING JR WAY"
6770472,"DERBY ST","WARRING ST"
6770473,"BANCROFT WAY","MARTIN LUTHER KING JR WAY"
6772323,"SAN PABLO AVE","DELAWARE ST"
6772337,"ALCATRAZ AVE","CALIFORNIA ST"
6772345,"SHATTUCK AVE","HEARST AVE"
6774163,"UNIVERSITY AVE","TENTH ST"
6776888,"TELEGRAPH AVE","DOWLING PL"
6780443,"I-80","UNIVERSITY AVE"
6780730,"UNIVERSITY AVE","MILVIA ST"
6780750,"SAN PABLO AVE","BURNETT ST"
6780821,"CHANNING WAY","CHANNING WAY"
6788671,"HEARST AVE","LE ROY AVE"
6796776,"PARKER ST","ELLSWORTH ST"
6806030,"UNIVERSITY AVE","MILVIA ST"
